doc_ID,date,sentence_id,context,detect_evidence_response,type_of_evidence_response,source_of_evidence_response,evidence_frame_response,associated_emotion_response,detect_source_response,journalist_question_response,country_source,country_source_response
202005121,2020-05-12,0,"Il est maintenant 14 heures, bienvenue à cette réunion de presse commune sur les dernières nouvelles concernant le covid -19. Les participants sont Emma Spak, chef de section à la SKR, Johanna Sandwall, responsable de la préparation aux crises à l'Office national de la santé et du bien-être, Karin Tegmark-Wisell, responsable de la microbiologie à l'Agence de santé publique de Suède et Svante Wer ger,",non,,,,,non,non,,
202005121,2020-05-12,1,"Il est maintenant 14 heures, bienvenue à cette réunion de presse commune sur les dernières nouvelles concernant le covid -19. Les participants sont Emma Spak, chef de section à la SKR, Johanna Sandwall, responsable de la préparation aux crises à l'Office national de la santé et du bien-être, Karin Tegmark-Wisell, responsable de la microbiologie à l'Agence de santé publique de Suède et Svante Wer ger, conseiller à la MSB.",non,,,,,non,non,,
202005121,2020-05-12,2,"Il est maintenant 14 heures, bienvenue à cette réunion de presse commune sur les dernières nouvelles concernant le covid -19. Les participants sont Emma Spak, chef de section à la SKR, Johanna Sandwall, responsable de la préparation aux crises à l'Office national de la santé et du bien-être, Karin Tegmark-Wisell, responsable de la microbiologie à l'Agence de santé publique de Suède et Svante Wer ger, conseiller à la MSB. Nous aurons ensuite la possibilité d'organiser des entretiens individuels.",non,,,,,non,non,,
202005121,2020-05-12,3,"Les participants sont Emma Spak, chef de section à la SKR, Johanna Sandwall, responsable de la préparation aux crises à l'Office national de la santé et du bien-être, Karin Tegmark-Wisell, responsable de la microbiologie à l'Agence de santé publique de Suède et Svante Wer ger, conseiller à la MSB. Nous aurons ensuite la possibilité d'organiser des entretiens individuels. Merci, bienvenue.",non,,,,,non,non,,
202005121,2020-05-12,4,"Wer ger, conseiller à la MSB. Nous aurons ensuite la possibilité d'organiser des entretiens individuels. Merci, bienvenue. Nous commençons par la situation mondiale, avec le même tableau que précédemment, qui montre le nombre de cas confirmés de cov id-19 au cours des sept derniers jours ;",non,,,,,non,non,,
202005121,2020-05-12,5,"conseiller à la MSB. Nous aurons ensuite la possibilité d'organiser des entretiens individuels. Merci, bienvenue. Nous commençons par la situation mondiale, avec le même tableau que précédemment, qui montre le nombre de cas confirmés de cov id-19 au cours des sept derniers jours ; plus le nombre de cas est élevé au cours des derniers jours, plus la couleur est foncée.",non,,,,,non,non,,
202005121,2020-05-12,6,"Nous aurons ensuite la possibilité d'organiser des entretiens individuels. Merci, bienvenue. Nous commençons par la situation mondiale, avec le même tableau que précédemment, qui montre le nombre de cas confirmés de cov id-19 au cours des sept derniers jours ; plus le nombre de cas est élevé au cours des derniers jours, plus la couleur est foncée. Le tableau est le même que ces derniers jours, vous voyez une augmentation des nouveaux cas, en particulier aux États-Unis.",non,,,,,non,non,,
202005121,2020-05-12,7,"Merci, bienvenue. Nous commençons par la situation mondiale, avec le même tableau que précédemment, qui montre le nombre de cas confirmés de cov id-19 au cours des sept derniers jours ; plus le nombre de cas est élevé au cours des derniers jours, plus la couleur est foncée. Le tableau est le même que ces derniers jours, vous voyez une augmentation des nouveaux cas, en particulier aux États-Unis. Nous avons également constaté, ce qui n'est pas très clair, une légère augmentation en Asie du Sud-Est, signe d'une nouvelle flambée des cas, ainsi qu'une augmentation en Russie, en Inde et dans d'autres parties de l'Asie.",non,,,,,non,non,,
202005121,2020-05-12,8,"Nous commençons par la situation mondiale, avec le même tableau que précédemment, qui montre le nombre de cas confirmés de cov id-19 au cours des sept derniers jours ; plus le nombre de cas est élevé au cours des derniers jours, plus la couleur est foncée. Le tableau est le même que ces derniers jours, vous voyez une augmentation des nouveaux cas, en particulier aux États-Unis. Nous avons également constaté, ce qui n'est pas très clair, une légère augmentation en Asie du Sud-Est, signe d'une nouvelle flambée des cas, ainsi qu'une augmentation en Russie, en Inde et dans d'autres parties de l'Asie. Au niveau mondial, nous avons environ 4 millions de cas et 286 000 décès.",non,,,,,non,non,,
202005121,2020-05-12,9,"plus le nombre de cas est élevé au cours des derniers jours, plus la couleur est foncée. Le tableau est le même que ces derniers jours, vous voyez une augmentation des nouveaux cas, en particulier aux États-Unis. Nous avons également constaté, ce qui n'est pas très clair, une légère augmentation en Asie du Sud-Est, signe d'une nouvelle flambée des cas, ainsi qu'une augmentation en Russie, en Inde et dans d'autres parties de l'Asie. Au niveau mondial, nous avons environ 4 millions de cas et 286 000 décès. En Europe, 349 000 décès, et le grand nombre de malades et de morts n'est pas très clair.",oui,sciences naturelles,"na. il n'y a pas de source specifique mentionnee dans cet extrait de conference de presse. le locuteur evoque des statistiques sur l'evolution de la pandemie de covid-19 au niveau mondial, regional et national, mais ne cite pas de preuve ou de reference a une source scientifique, une organisation ou un expert en particulier.",suppression,négatif,non,non,,oui
